kunta,ehdokkaita,ikävuodet yht,keski-ikä,naisia,naisia kaikista
Valkeakoski,159,8151,51.26415094,61,0.383647799
Valtimo,41,2191,53.43902439,14,0.341463415
Vantaa,631,30473,48.29318542,283,0.448494453
Varkaus,136,7045,51.80147059,54,0.397058824
Vehmaa,51,2572,50.43137255,20,0.392156863
Vesanto,40,1928,48.2,20,0.5
Vesilahti,50,2329,46.58,21,0.42
Veteli,48,2480,51.66666667,15,0.3125
Vieremä,47,2395,50.95744681,18,0.382978723
Vihti,174,8525,48.99425287,73,0.41954023
Viitasaari,74,3851,52.04054054,29,0.391891892
Vimpeli,61,3088,50.62295082,20,0.327868852
Virolahti,51,2615,51.2745098,25,0.490196078
Virrat,84,4375,52.08333333,37,0.44047619
Vöyri,44,2166,49.22727273,12,0.272727273
Ylitornio,38,1950,51.31578947,18,0.473684211
Ylivieska,104,4964,47.73076923,32,0.307692308
Ylöjärvi,194,9461,48.76804124,89,0.458762887
Ypäjä,76,3497,46.01315789,38,0.5
Ähtäri,86,4389,51.03488372,34,0.395348837
Äänekoski,126,6559,52.05555556,49,0.388888889
